"Category","IsoCountryCode","Name","HomepageUrl","IsSelfService","DoumentationUrl","HasCodeLibraries","OrganisationName","Scope","SourceCodeLicence","Notes"
"Identity","GB","GOV.UK Verify","https://govuk-verify.cloudapps.digital","","","","","","",""
"Identity","IN","Aadhaar","https://www.uidai.gov.in/","true","","true","Ministry of Electronics and Information Technology","Society","","Developer access to via 3rd party providers"
"Identity","IN","eKYC","http://indiastack.org/ekyc/","true","","true","","","",""
"Identity","US","login.gov","https://www.login.gov/","true","https://developers.login.gov/","true","18F","Federal","CC0 1.0 Universal public domain",""
"Document signing","IN","DigiLocker","https://digilocker.gov.in/","","http://cca.gov.in/cca/sites/default/files/files/eSign-APIv2.1.pdf","","Ministry of Electronics and Information Technology","","","Documentation is limited"
"Identity","IT","SPID","https://spid.gov.it","","","","AgID","Central and local government","",""
"Identity","JP","MyNumber","https://www.cao.go.jp/bangouseido/","","","","Cabinet Office","Central government","","API documentation appears to be by request. Use by non government entities needs to be explicitly authorised by law"
"Ticketing","IN","DigiYatra","https://www.india.gov.in/spotlight/digi-yatra-new-digital-experience-air-travellers","False","","","Ministry of Civil Aviation","Society","Society-wide","Biometric based identity, ticketing and e-gates system. Needs to be created using an existing identity document that can include Aadhaar, although Aadhaar number is not stored"
"Identity","SE","Bank ID","https://www.bankid.com/en/","False","https://www.bankid.com/bankid-i-dina-tjanster/rp-info","False","Finansiell ID-Teknik BID AB","Society-wide","","Provided by a private company, but adopted by major banks. It is used beyond banking in healthcare and document signing"
"Identity","US","MAX.gov","https://login.max.gov","","","","","","",""
"Identity","SE","AB Svenska Pass","","","","","","","","One of 3 identity providers certificed by the Swedish government"
"Identity","SE","Freja eID","","","","","","","","One of 3 identity providers certificed by the Swedish government"
"Identity","AU","MyGov","https://my.gov.au/LoginServices/main/login?execution=e2s1","","","","","","",""
"Key management","US","https://www.idmanagement.gov/fpki/","","","","","","",""
